IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.24.163,443,443,true,FRA,Europe,Frankfurt,176,8.17
34.65.233.74,443,443,true,FRA,Europe,Frankfurt,177,8.16
34.107.106.55,443,443,true,FRA,Europe,Frankfurt,178,8.16
34.147.4.61,443,443,true,FRA,Europe,Frankfurt,184,8.16
34.34.44.103,443,443,true,FRA,Europe,Frankfurt,172,8.15
34.89.134.110,443,443,true,FRA,Europe,Frankfurt,178,8.13
35.242.228.65,443,443,true,FRA,Europe,Frankfurt,214,8.11
34.116.141.173,443,443,true,SIN,Asia Pacific,Singapore,244,8.11
34.148.187.247,443,443,true,ATL,North America,Atlanta,279,8.08
34.65.227.171,443,443,true,FRA,Europe,Frankfurt,176,8.07
34.65.114.26,443,443,true,FRA,Europe,Frankfurt,185,8.07
34.159.129.7,443,443,true,FRA,Europe,Frankfurt,176,8.05
34.147.117.190,443,443,true,FRA,Europe,Frankfurt,179,8.04
34.89.233.207,443,443,true,FRA,Europe,Frankfurt,225,8.04
34.90.29.94,443,443,true,FRA,Europe,Frankfurt,177,8.03
34.107.61.14,443,443,true,FRA,Europe,Frankfurt,177,8.02
34.89.222.203,443,443,true,FRA,Europe,Frankfurt,168,8.01
34.107.61.14,443,443,true,FRA,Europe,Frankfurt,174,8.01
34.89.241.21,443,443,true,FRA,Europe,Frankfurt,170,8.00
35.234.107.239,443,443,true,FRA,Europe,Frankfurt,168,8.00
34.147.4.61,443,443,true,FRA,Europe,Frankfurt,188,8.00
34.65.221.128,443,443,true,FRA,Europe,Frankfurt,180,7.99
35.234.84.142,443,443,true,FRA,Europe,Frankfurt,169,7.97
34.91.36.200,443,443,true,SIN,Asia Pacific,Singapore,225,7.97
34.65.69.203,443,443,true,SIN,Asia Pacific,Singapore,176,7.97
34.116.139.71,443,443,true,FRA,Europe,Frankfurt,187,7.96
34.65.206.57,443,443,true,FRA,Europe,Frankfurt,179,7.96
35.204.129.97,443,443,true,FRA,Europe,Frankfurt,175,7.95
34.147.118.212,443,443,true,FRA,Europe,Frankfurt,172,7.94
34.90.47.122,443,443,true,FRA,Europe,Frankfurt,176,7.94
34.159.55.124,443,443,true,FRA,Europe,Frankfurt,170,7.92
34.89.215.58,443,443,true,FRA,Europe,Frankfurt,155,7.92
34.89.220.83,443,443,true,FRA,Europe,Frankfurt,167,7.90
34.107.106.55,443,443,true,FRA,Europe,Frankfurt,188,7.89
34.91.188.243,443,443,true,FRA,Europe,Frankfurt,174,7.89
35.234.108.185,443,443,true,FRA,Europe,Frankfurt,181,7.88
34.90.252.225,443,443,true,FRA,Europe,Frankfurt,175,7.88
34.118.126.168,443,443,true,FRA,Europe,Frankfurt,192,7.88
34.116.141.173,443,443,true,AMS,Europe,Amsterdam,195,7.87
34.65.51.65,443,443,true,FRA,Europe,Frankfurt,177,7.86
34.91.71.92,443,443,true,FRA,Europe,Frankfurt,181,7.85
34.91.230.226,443,443,true,MUC,Europe,Munich,177,7.84
34.90.29.94,443,443,true,FRA,Europe,Frankfurt,178,7.83
34.32.164.197,443,443,true,FRA,Europe,Frankfurt,195,7.83
34.147.53.185,443,443,true,FRA,Europe,Frankfurt,174,7.82
35.246.232.231,443,443,true,FRA,Europe,Frankfurt,177,7.81
34.91.231.245,443,443,true,FRA,Europe,Frankfurt,196,7.81
34.147.53.185,443,443,true,FRA,Europe,Frankfurt,209,7.80
34.89.233.207,443,443,true,FRA,Europe,Frankfurt,176,7.80
34.91.38.97,443,443,true,FRA,Europe,Frankfurt,176,7.79
34.32.156.13,443,443,true,FRA,Europe,Frankfurt,172,7.77
34.116.244.60,443,443,true,AMS,Europe,Amsterdam,189,7.77
34.147.118.212,443,443,true,FRA,Europe,Frankfurt,178,7.77
34.90.56.154,443,443,true,FRA,Europe,Frankfurt,177,7.76
34.91.84.129,443,443,true,FRA,Europe,Frankfurt,194,7.76
34.107.0.78,443,443,true,FRA,Europe,Frankfurt,171,7.76
34.91.230.226,443,443,true,FRA,Europe,Frankfurt,176,7.76
34.116.159.30,443,443,true,FRA,Europe,Frankfurt,252,7.75
34.90.250.142,443,443,true,FRA,Europe,Frankfurt,182,7.74
34.107.0.78,443,443,true,FRA,Europe,Frankfurt,223,7.73
34.89.222.203,443,443,true,FRA,Europe,Frankfurt,172,7.73
34.90.18.246,443,443,true,FRA,Europe,Frankfurt,176,7.71
34.65.86.254,443,443,true,SIN,Asia Pacific,Singapore,181,7.70
34.107.91.0,443,443,true,FRA,Europe,Frankfurt,209,7.70
34.118.27.151,443,443,true,FRA,Europe,Frankfurt,189,7.69
34.65.97.68,443,443,true,FRA,Europe,Frankfurt,166,7.68
34.32.145.169,443,443,true,FRA,Europe,Frankfurt,174,7.67
34.118.78.222,443,443,true,FRA,Europe,Frankfurt,187,7.67
34.90.29.94,443,443,true,FRA,Europe,Frankfurt,177,7.65
34.107.94.44,443,443,true,FRA,Europe,Frankfurt,198,7.64
34.91.230.226,443,443,true,FRA,Europe,Frankfurt,174,7.63
34.65.217.157,443,443,true,FRA,Europe,Frankfurt,176,7.63
35.242.201.237,443,443,true,FRA,Europe,Frankfurt,237,7.63
34.107.19.191,443,443,true,MUC,Europe,Munich,185,7.63
34.32.215.49,443,443,true,FRA,Europe,Frankfurt,175,7.63
